2023-12-28 13:09:06 INFO  LandingPage:1442 - Width for ITEM STATUS input field was SUCCESSFULLY changed.
2023-12-28 13:09:06 INFO  LandingPage:1455 - ITEM STATUS input field was selected in the FIXED column BY DEFAULT.
2023-12-28 13:09:06 INFO  LandingPage:1473 - The 'Transfer Posting' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:06 INFO  Waitings:240 - TOTAL TIME that 'Transfer Posting' WIDTH field page was loading: 0.02 seconds.
2023-12-28 13:09:07 INFO  LandingPage:1484 - Width for TRANSFER POSTING input field was SUCCESSFULLY changed.
2023-12-28 13:09:07 INFO  LandingPage:1498 - TRANSFER POSTING input field was selected in the FIXED column BY DEFAULT.
2023-12-28 13:09:07 INFO  LandingPage:1516 - The 'Item Number' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:07 INFO  Waitings:240 - TOTAL TIME that 'Item Number' WIDTH field page was loading: 0.015 seconds.
2023-12-28 13:09:07 INFO  LandingPage:1527 - Width for ITEM NUMBER input field was SUCCESSFULLY changed.
2023-12-28 13:09:08 INFO  LandingPage:1541 - ITEM NUMBER input field was selected in the FIXED column BY DEFAULT.
2023-12-28 13:09:08 INFO  LandingPage:1560 - The 'Sequence Number of the Item' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:08 INFO  Waitings:240 - TOTAL TIME that 'Sequence Number of the Item' WIDTH field page was loading: 0.016 seconds.
2023-12-28 13:09:09 INFO  LandingPage:1571 - Width for SEQUENCE NUMBER OF THE ITEM input field was SUCCESSFULLY changed.
2023-12-28 13:09:09 INFO  LandingPage:1585 - SEQUENCE NUMBER OF THE ITEM input field was selected in the FIXED column BY DEFAULT.
2023-12-28 13:09:09 INFO  LandingPage:1603 - The 'Posting Sequence' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:09 INFO  Waitings:240 - TOTAL TIME that 'Posting Sequence' WIDTH field page was loading: 0.014 seconds.
2023-12-28 13:09:10 INFO  LandingPage:1614 - Width for POSTING SEQUENCE input field was SUCCESSFULLY changed.
2023-12-28 13:09:10 INFO  LandingPage:1628 - POSTING SEQUENCE input field was selected in the FIXED column BY DEFAULT.
2023-12-28 13:09:10 INFO  LandingPage:1647 - The 'Item Category' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:10 INFO  Waitings:240 - TOTAL TIME that 'Item Category' WIDTH field page was loading: 0.016 seconds.
2023-12-28 13:09:11 INFO  LandingPage:1658 - Width for ITEM CATEGORY input field was SUCCESSFULLY changed.
2023-12-28 13:09:11 INFO  LandingPage:1672 - ITEM CATEGORY input field was selected in the FIXED column BY DEFAULT.
2023-12-28 13:09:11 INFO  LandingPage:1690 - The 'Reference Document' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:11 INFO  Waitings:240 - TOTAL TIME that 'Reference Document' WIDTH field page was loading: 0.014 seconds.
2023-12-28 13:09:12 INFO  LandingPage:1701 - Width for REFERENCE DOCUMENT input field was SUCCESSFULLY changed.
2023-12-28 13:09:12 INFO  LandingPage:1715 - REFERENCE DOCUMENT input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:12 INFO  LandingPage:1734 - The 'Reference Item' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:13 INFO  Waitings:240 - TOTAL TIME that 'Reference Item' WIDTH field page was loading: 0.015 seconds.
2023-12-28 13:09:13 INFO  LandingPage:1745 - Width for REFERENCE ITEM input field was SUCCESSFULLY changed.
2023-12-28 13:09:13 INFO  LandingPage:1759 - REFERENCE ITEM input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:14 INFO  LandingPage:1778 - The 'Material' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:14 INFO  Waitings:240 - TOTAL TIME that 'Material' WIDTH field page was loading: 0.016 seconds.
2023-12-28 13:09:14 INFO  LandingPage:1789 - Width for MATERIAL input field was SUCCESSFULLY changed.
2023-12-28 13:09:14 INFO  LandingPage:1803 - MATERIAL ITEM input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:15 INFO  LandingPage:1821 - The 'Material description' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:15 INFO  Waitings:240 - TOTAL TIME that 'Material description' WIDTH field page was loading: 0.014 seconds.
